YYYYMMDD,RH
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,RH
#,"STN,YYYYMMDD,"
"344,20121205,",29
"344,20121206,",7
"344,20121207,",107
"344,20121208,",1
"344,20121209,",102
"344,20121210,",16
"344,20121211,",2
"344,20121212,",-1
"344,20121213,",-1
"344,20121214,",103
"344,20121215,",8
"344,20121216,",24
"344,20121217,",31
"344,20121218,",16
"344,20121219,",0
"344,20121220,",68
"344,20121221,",9
"344,20121222,",224
"344,20121223,",76
"344,20121224,",32
"344,20121225,",125
"344,20121226,",45
"344,20121227,",27
"344,20121228,",18
"344,20121229,",2
"344,20121230,",23
"344,20121231,",50
"344,20130101,",101
"344,20130102,",6
"344,20130103,",5
"344,20130104,",8
"344,20130105,",-1
"344,20130106,",0
"344,20130107,",3
"344,20130108,",0
"344,20130109,",33
"344,20130110,",14
"344,20130111,",-1
"344,20130112,",0
"344,20130113,",0
"344,20130114,",68
"344,20130115,",29
"344,20130116,",0
"344,20130117,",-1
"344,20130118,",6
"344,20130119,",0
"344,20130120,",33
"344,20130121,",6
"344,20130122,",0
"344,20130123,",0
"344,20130124,",-1
"344,20130125,",0
"344,20130126,",10
"344,20130127,",97
"344,20130128,",30
"344,20130129,",62
"344,20130130,",154
"344,20130131,",19
"344,20130201,",62
"344,20130202,",37
"344,20130203,",11
"344,20130204,",13
"344,20130205,",59
"344,20130206,",51
"344,20130207,",31
"344,20130208,",26
"344,20130209,",5
"344,20130210,",12
"344,20130211,",-1
"344,20130212,",0
"344,20130213,",0
"344,20130214,",47
"344,20130215,",1
"344,20130216,",-1
"344,20130217,",0
"344,20130218,",0
"344,20130219,",2
"344,20130220,",0
"344,20130221,",0
"344,20130222,",0
"344,20130223,",-1
"344,20130224,",26
"344,20130225,",5
"344,20130226,",0
"344,20130227,",0
"344,20130228,",0
"344,20130301,",1
"344,20130302,",0
"344,20130303,",-1
"344,20130304,",0
"344,20130305,",0
"344,20130306,",0
"344,20130307,",7
"344,20130308,",34
"344,20130309,",261
"344,20130310,",24
"344,20130311,",-1
"344,20130312,",0
"344,20130313,",3
"344,20130314,",5
"344,20130315,",26
"344,20130316,",11
"344,20130317,",10
"344,20130318,",10
"344,20130319,",10
"344,20130320,",-1
"344,20130321,",-1
"344,20130322,",0
"344,20130323,",0
"344,20130324,",0
"344,20130325,",0
